AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,year,month,neutralized,ColorMix,BreedMix
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,Dog,Male,1.0,Shetland Sheepdog,Brown,2014,2,True,True,False
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Cat,Female,1.0,Domestic Shorthair,Cream Tabby,2013,10,True,False,False
A686464,Pearce,2015-01-31 12:28:00,Adoption,Dog,Male,2.0,Pit Bull,Blue,2015,1,True,True,False
A683430,,2014-07-11 19:09:00,Transfer,Cat,Male,0.057692307692307696,Domestic Shorthair,Blue Cream,2014,7,False,False,False
A667013,,2013-11-15 12:52:00,Transfer,Dog,Male,2.0,Lhasa Apso,Tan,2013,11,True,False,False
A677334,Elsa,2014-04-25 13:04:00,Transfer,Dog,Female,0.08333333333333333,Cairn Terrier,Black,2014,4,False,True,False
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Cat,Male,0.057692307692307696,Domestic Shorthair,Blue Tabby,2015,3,False,False,False
A701489,,2015-04-30 17:02:00,Transfer,Cat,,0.057692307692307696,Domestic Shorthair,Brown Tabby,2015,4,,False,False
A671784,Lucy,2014-02-04 17:17:00,Adoption,Dog,Female,0.4166666666666667,American Pit Bull Terrier,Red,2014,2,True,True,False
A677747,,2014-05-03 07:48:00,Adoption,Dog,Female,1.0,Cairn Terrier,White,2014,5,True,False,False
A668402,,2013-12-05 15:50:00,Transfer,Cat,,2.0,Domestic Shorthair,Black,2013,12,,False,False
A666320,,2013-11-04 14:48:00,Adoption,Dog,Female,2.0,Miniature Schnauzer,Silver,2013,11,True,False,False
A684601,Rocket,2016-02-03 11:27:00,Adoption,Dog,Male,4.0,Pit Bull,Brown,2016,2,True,False,False
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,Dog,Male,2.0,Yorkshire Terrier,Black,2015,6,True,True,False
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,Dog,Male,1.0,Great Pyrenees,White,2015,11,True,True,False
A678825,Oliver,2014-07-12 12:10:00,Adoption,Cat,Male,0.25,Domestic Shorthair,Orange Tabby,2014,7,True,True,False
A678050,,2014-05-03 16:15:00,Transfer,Cat,Male,0.057692307692307696,Domestic Shorthair,Brown Tabby,2014,5,False,False,False
A680028,,2014-06-07 12:54:00,Transfer,Dog,Female,0.038461538461538464,Pit Bull,Brown,2014,6,False,True,False
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Cat,Female,2.0,Angora,White,2014,5,False,False,False
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,Dog,Male,1.0,Flat Coat Retriever,Black,2014,7,True,False,False
A670658,Anders,2014-01-19 15:03:00,Transfer,Dog,Male,0.16666666666666666,Queensland Heeler,Black,2014,1,False,True,False
A708812,Munchkin,2015-09-18 15:19:00,Transfer,Cat,Female,1.0,Domestic Shorthair,White,2015,9,True,False,False
A705262,Jamaica,2015-08-15 14:22:00,Adoption,Dog,Female,2.0,Plott Hound,Brown Brindle,2015,8,True,True,False
A665781,Quattro,2013-10-28 16:32:00,Adoption,Dog,Male,0.8333333333333334,German Shepherd,Brown,2013,10,True,True,False
A676333,Trigger,2014-04-09 17:44:00,Return_to_owner,Dog,Male,0.16666666666666666,German Shepherd,Black,2014,4,True,True,False
A712750,Olive,2015-10-03 15:44:00,Transfer,Cat,Female,0.08333333333333333,Domestic Shorthair,Orange Tabby,2015,10,False,False,False
A718832,Nia,2016-01-15 17:31:00,Adoption,Dog,Female,0.5,American Staffordshire Terrier,Chocolate,2016,1,True,True,False
A698777,Chloe,2015-03-25 18:50:00,Adoption,Dog,Female,5.0,Chihuahua Shorthair,White,2015,3,True,True,False
A715348,Cymbale,2015-11-21 13:01:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Cream Tabby,2015,11,True,True,False
A708666,Jax,2015-07-30 14:30:00,Return_to_owner,Cat,Male,7.0,Russian Blue,Blue,2015,7,True,False,False
A718535,,2016-01-01 13:57:00,Euthanasia,Cat,Female,3.0,Domestic Shorthair,Calico,2016,1,True,False,False
A707341,Murphy,2015-07-15 15:25:00,Transfer,Dog,Male,0.3333333333333333,Labrador Retriever,Black,2015,7,False,True,False
A682532,,2014-07-03 17:01:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Torbie,2014,7,True,False,False
A666825,Jesse,2013-11-08 13:24:00,Return_to_owner,Dog,Male,5.0,Collie Smooth,Brown,2013,11,True,True,False
A699723,Delgado,2015-04-11 16:01:00,Transfer,Dog,Male,3.0,Chihuahua Shorthair,Brown,2015,4,True,False,False
A668626,,2013-12-06 14:55:00,Euthanasia,Dog,Male,3.0,Labrador Retriever,Yellow,2013,12,False,False,False
A657085,Pony Boy,2013-10-24 11:22:00,Return_to_owner,Dog,Male,3.0,Pit Bull,Brown,2013,10,True,True,False
A682413,,2014-07-02 13:37:00,Transfer,Cat,Male,0.16666666666666666,Domestic Shorthair,Blue,2014,7,False,True,False
A702655,Mica,2015-08-11 00:00:00,Transfer,Cat,Male,0.3333333333333333,Domestic Shorthair,Black,2015,8,True,True,False
A707503,,2015-07-14 12:16:00,Transfer,Cat,Male,0.057692307692307696,Domestic Shorthair,Brown Tabby,2015,7,False,False,False
A697199,Pilar,2015-04-04 17:26:00,Adoption,Cat,Female,7.0,Domestic Shorthair,Blue Tabby,2015,4,True,False,False
A705598,,2015-06-23 13:25:00,Transfer,Cat,Male,0.16666666666666666,Domestic Shorthair,Orange Tabby,2015,6,False,False,False
A668388,Lucy,2013-12-09 15:04:00,Transfer,Cat,Female,0.16666666666666666,Domestic Shorthair,Brown Tabby,2013,12,False,False,False
A671181,,2014-01-21 15:15:00,Transfer,Cat,Male,4.0,Domestic Longhair,Black,2014,1,False,True,False
A676766,Ali,2014-05-28 15:52:00,Adoption,Cat,Male,2.0,Domestic Shorthair,Black,2014,5,True,True,False
A686716,Chester,2014-08-27 07:50:00,Return_to_owner,Dog,Male,12.0,Beagle,Tricolor,2014,8,True,False,False
A684475,Daisy,2014-08-05 11:15:00,Return_to_owner,Cat,Female,9.0,Domestic Shorthair,White,2014,8,True,True,False
A701804,,2015-05-05 11:46:00,Transfer,Cat,Female,0.057692307692307696,Domestic Shorthair,Black,2015,5,False,False,False
A697852,Edith,2015-03-09 17:57:00,Adoption,Dog,Female,0.4166666666666667,German Shepherd,Black,2015,3,True,True,False
A666092,,2013-10-30 15:37:00,Euthanasia,Dog,Male,6.0,Pit Bull,Chocolate,2013,10,False,True,False
A684050,,2014-07-28 09:00:00,Transfer,Cat,Female,1.0,Domestic Shorthair,Tortie,2014,7,False,False,False
A710107,Caty,2015-10-19 18:58:00,Adoption,Cat,Female,0.25,Domestic Shorthair,Brown Tabby,2015,10,True,False,False
A682347,,2014-06-26 17:16:00,Transfer,Cat,Female,0.057692307692307696,Domestic Shorthair,Blue Tabby,2014,6,False,True,False
A701627,Gabe,2015-05-14 12:07:00,Adoption,Dog,Male,2.0,Blue Lacy,Gray,2015,5,True,True,False
A690902,Beth,2014-11-18 16:05:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Orange Tabby,2014,11,True,True,False
A712979,,2015-10-04 15:02:00,Transfer,Cat,Male,0.019230769230769232,Domestic Shorthair,Black,2015,10,False,False,False
A707687,Bashful,2015-08-16 13:52:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Calico,2015,8,True,False,False
A683443,,2014-07-18 16:23:00,Transfer,Dog,Male,1.0,Chihuahua Shorthair,Tan,2014,7,False,False,False
A597644,Lola,2014-09-16 14:05:00,Return_to_owner,Dog,Female,4.0,Black Mouth Cur,Tan,2014,9,True,True,False
A682784,Sugar,2014-07-07 12:38:00,Adoption,Dog,Male,2.0,Dachshund,Brown,2014,7,True,True,False
A709863,Orangejello,2015-08-19 13:32:00,Transfer,Cat,Male,1.0,Domestic Shorthair,Orange Tabby,2015,8,False,True,False
A678506,Prec Punkin',2014-05-09 18:07:00,Euthanasia,Dog,Female,11.0,Yorkshire Terrier,Brown,2014,5,True,True,False
A713029,Wilma,2015-10-06 15:07:00,Transfer,Cat,Female,0.08333333333333333,Domestic Shorthair,Black,2015,10,False,False,False
A712236,Bella,2015-09-23 11:45:00,Adoption,Dog,Female,2.0,Dachshund,Tan,2015,9,True,True,False
A683961,,2014-07-17 17:31:00,Transfer,Cat,,0.038461538461538464,Domestic Shorthair,Black,2014,7,,False,False
A714740,Chiquita,2015-10-27 18:32:00,Return_to_owner,Dog,Female,6.0,Maltese,White,2015,10,True,False,False
A691847,Hero,2014-12-08 15:53:00,Transfer,Dog,Male,0.5,Pointer,Black,2014,12,True,True,False
A711392,Molly,2015-09-08 15:31:00,Transfer,Dog,Female,0.16666666666666666,English Foxhound,Buff,2015,9,False,False,False
A705258,,2015-06-16 09:00:00,Transfer,Cat,,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,6,,True,False
A678172,Bella,2014-05-10 18:18:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,Red,2014,5,True,False,False
A676736,Chili,2014-04-30 17:55:00,Adoption,Dog,Male,0.16666666666666666,Vizsla,Brown,2014,4,True,False,False
A701575,Hastings,2016-01-29 14:53:00,Transfer,Dog,Male,2.0,Pit Bull,Brown Brindle,2016,1,True,True,False
A674913,,2014-03-25 18:15:00,Adoption,Dog,Female,3.0,German Shepherd,White,2014,3,True,False,False
A706446,Tootsie,2015-08-18 11:32:00,Return_to_owner,Cat,Female,1.0,Domestic Shorthair,Black,2015,8,False,False,False
A669540,Snookie,2013-12-28 16:17:00,Return_to_owner,Dog,Female,4.0,Yorkshire Terrier,Blue,2013,12,True,True,False
A709371,Abby,2015-08-19 14:28:00,Transfer,Dog,Female,2.0,Cardigan Welsh Corgi,Tan,2015,8,True,False,False
A681410,Nym,2014-06-22 17:22:00,Adoption,Cat,Female,0.25,Domestic Longhair,Brown Tabby,2014,6,True,False,False
A675021,,2014-03-21 17:09:00,Euthanasia,Cat,Female,1.0,Domestic Shorthair,Calico,2014,3,False,False,False
A704179,Zeus,2015-06-07 16:07:00,Adoption,Dog,Male,0.16666666666666666,Chow Chow,Black,2015,6,True,False,False
A717839,,2015-12-20 19:38:00,Transfer,Cat,Female,2.0,Domestic Shorthair,Black,2015,12,True,True,False
A700740,Charlie,2015-12-17 12:10:00,Adoption,Dog,Male,1.0,Chihuahua Shorthair,White,2015,12,True,False,False
A712376,,2015-09-22 12:10:00,Euthanasia,Cat,,0.038461538461538464,Domestic Shorthair,Blue Tabby,2015,9,,False,False
A703952,Taco,2015-05-30 18:56:00,Transfer,Cat,,0.07692307692307693,Siamese,Seal Point,2015,5,,False,False
A713690,,2015-10-12 09:00:00,Transfer,Cat,Male,2.0,Domestic Shorthair,Blue Tabby,2015,10,False,False,False
A691838,Avaddon,2015-02-09 17:17:00,Euthanasia,Dog,Male,12.0,Pit Bull,Brown Brindle,2015,2,True,False,False
A687789,,2014-09-14 18:51:00,Adoption,Dog,Male,1.0,Dachshund,Brown,2014,9,True,True,False
A704754,Arthur,2015-07-18 15:37:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black,2015,7,True,False,False
A707531,,2015-07-14 15:04:00,Transfer,Cat,Male,0.038461538461538464,Domestic Shorthair,Black,2015,7,False,False,False
A677594,,2014-04-26 18:00:00,Transfer,Dog,Female,0.25,Labrador Retriever,Black,2014,4,False,True,False
A667155,,2013-11-18 15:56:00,Adoption,Cat,Female,0.25,Domestic Medium Hair,Calico,2013,11,True,False,False
A717147,Freeway,2015-12-15 14:16:00,Adoption,Dog,Male,0.4166666666666667,Plott Hound,Brown Brindle,2015,12,True,True,False
A687012,Chloe,2016-02-07 14:54:00,Adoption,Dog,Female,3.0,Boxer,Black,2016,2,True,False,False
A676200,Georgia,2014-04-10 11:49:00,Transfer,Dog,Female,7.0,Lhasa Apso,White,2014,4,True,True,False
A676680,Hero,2015-02-06 18:56:00,Euthanasia,Dog,Female,2.0,German Shepherd,Black,2015,2,True,True,False
A688443,Thelma,2014-12-29 15:11:00,Adoption,Cat,Female,0.3333333333333333,Domestic Shorthair,Black,2014,12,True,False,False
A715261,Darcy,2015-11-15 14:06:00,Adoption,Dog,Female,9.0,Beagle,White,2015,11,True,True,False
A717008,Taz,2015-12-06 15:12:00,Transfer,Dog,Male,0.5833333333333334,Border Collie,Black,2015,12,True,True,False
A683416,,2014-07-14 19:28:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Black,2014,7,True,True,False
A690658,,2014-10-24 09:00:00,Transfer,Cat,Male,3.0,Domestic Shorthair,Black,2014,10,False,True,False
A695155,,2015-01-14 16:18:00,Adoption,Dog,Male,3.0,Border Terrier,Gray,2015,1,True,False,False
A679721,Poppy,2014-05-29 17:43:00,Adoption,Dog,Male,5.0,Chihuahua Shorthair,Tan,2014,5,True,True,False
A719113,Dexter,2016-01-28 12:05:00,Transfer,Dog,Male,5.0,Boxer,Brown Brindle,2016,1,True,True,False
A665298,,2013-10-16 11:50:00,Transfer,Cat,Female,0.038461538461538464,Domestic Medium Hair,Blue,2013,10,False,False,False
A708351,,2015-07-26 14:40:00,Transfer,Cat,,0.038461538461538464,Domestic Shorthair,Black,2015,7,,False,False
A670681,Matty,2014-01-30 14:41:00,Transfer,Cat,Female,4.0,Domestic Shorthair,Torbie,2014,1,True,False,False
A699990,Chubbs,2015-04-08 18:06:00,Return_to_owner,Dog,Male,4.0,Cairn Terrier,Tan,2015,4,True,True,False
A707767,Lilly,2015-07-19 18:27:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,7,True,False,False
A668362,Minnie,2013-12-20 12:02:00,Return_to_owner,Dog,Female,2.0,Chihuahua Shorthair,Black,2013,12,True,True,False
A674577,Santiago,2014-03-23 18:43:00,Adoption,Dog,Male,2.0,Dogo Argentino,White,2014,3,True,False,False
A674802,Franklin,2014-03-29 11:26:00,Return_to_owner,Dog,Male,9.0,Dachshund,Black,2014,3,True,True,False
A672410,Myles,2014-02-11 18:16:00,Return_to_owner,Dog,Male,5.0,Beagle,Tricolor,2014,2,True,False,False
A657753,Wiz,2013-12-06 16:53:00,Euthanasia,Dog,Male,1.0,Chihuahua Shorthair,Yellow Brindle,2013,12,True,True,False
A663339,Abby,2013-10-20 16:37:00,Adoption,Dog,Female,2.0,Pit Bull,Fawn,2013,10,True,True,False
A678229,,2014-05-06 15:59:00,Transfer,Cat,Male,0.057692307692307696,Domestic Shorthair,Brown Tabby,2014,5,False,False,False
A698694,Boss,2015-07-06 15:48:00,Transfer,Dog,Male,0.4166666666666667,Pit Bull,White,2015,7,False,True,False
A695971,,2015-01-26 16:23:00,Euthanasia,Cat,Male,6.0,Domestic Shorthair,Orange Tabby,2015,1,False,False,False
A674233,Missy,2014-03-22 15:38:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,Tan,2014,3,True,False,False
A713392,Basil,2015-11-05 00:00:00,Transfer,Dog,Male,0.25,Chihuahua Shorthair,Black,2015,11,False,True,False
A713968,Katydid,2015-10-24 18:29:00,Transfer,Cat,Female,0.08333333333333333,Domestic Longhair,Calico,2015,10,False,False,False
A701428,Kiki,2015-05-03 16:59:00,Return_to_owner,Dog,Female,3.0,Chihuahua Shorthair,Brown,2015,5,True,False,False
A676146,Desmo,2014-04-14 17:00:00,Return_to_owner,Dog,Male,5.0,Dachshund,Black,2014,4,True,False,False
A679259,Pablo,2014-05-26 11:22:00,Adoption,Dog,Male,8.0,Miniature Schnauzer,Black,2014,5,True,False,False
A688223,,2014-09-21 14:15:00,Adoption,Dog,Female,0.16666666666666666,Labrador Retriever,Black,2014,9,True,True,False
A691968,,2014-11-14 11:57:00,Euthanasia,Cat,Female,7.0,Domestic Shorthair,Tortie,2014,11,False,False,False
A688871,Pandora,2014-10-03 18:43:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Black,2014,10,False,False,False
A674530,Jackson,2014-09-11 17:03:00,Adoption,Dog,Male,5.0,Pit Bull,Black,2014,9,True,False,False
A718604,Watson,2016-01-31 17:22:00,Adoption,Dog,Male,1.0,Pit Bull,White,2016,1,True,True,False
A686520,,2014-08-24 09:00:00,Transfer,Cat,Male,0.25,Domestic Shorthair,Brown Tabby,2014,8,False,False,False
A699094,Levon,2015-03-22 18:40:00,Return_to_owner,Dog,Male,2.0,Chihuahua Shorthair,Brown,2015,3,True,True,False
A394547,Snickerdoodl,2015-01-25 11:15:00,Return_to_owner,Dog,Female,9.0,Labrador Retriever,Chocolate,2015,1,True,True,False
A662685,Lola,2015-10-22 17:18:00,Adoption,Dog,Female,3.0,Pit Bull,Red,2015,10,True,True,False
A713977,Jumbly,2015-10-26 18:39:00,Return_to_owner,Cat,Female,3.0,Domestic Shorthair,Calico,2015,10,True,False,False
A707781,Pearl,2016-01-15 14:03:00,Adoption,Dog,Female,1.0,Chihuahua Shorthair,Black,2016,1,True,True,False
A694699,Pebbles,2015-01-09 15:28:00,Transfer,Dog,Female,2.0,Chihuahua Shorthair,Black,2015,1,True,True,False
A696350,Minnie,2015-12-15 17:30:00,Return_to_owner,Dog,Female,1.0,Pit Bull,Brown Brindle,2015,12,True,False,False
A679102,Merlin,2014-06-10 16:41:00,Transfer,Cat,Male,2.0,Siamese,Flame Point,2014,6,True,False,False
A698341,Parsley,2015-05-16 15:19:00,Return_to_owner,Dog,Female,2.0,Tibetan Terrier,Brown,2015,5,True,False,False
A681481,,2014-06-18 09:00:00,Transfer,Cat,Female,2.0,Domestic Shorthair,Blue,2014,6,False,True,False
A714177,,2015-10-20 09:00:00,Transfer,Cat,,0.25,Domestic Shorthair,Tortie,2015,10,,False,False
A689601,Abby,2014-11-23 18:55:00,Adoption,Dog,Female,0.08333333333333333,Miniature Pinscher,Tricolor,2014,11,True,False,False
A685062,,2014-08-05 13:20:00,Adoption,Cat,Male,0.16666666666666666,Domestic Shorthair,Orange Tabby,2014,8,True,True,False
A672453,,2014-02-16 19:38:00,Adoption,Cat,Male,0.8333333333333334,Domestic Medium Hair,Cream Tabby,2014,2,True,False,False
A719480,Ricky,2016-02-09 16:31:00,Transfer,Cat,Female,2.0,Domestic Medium Hair,Brown Tabby,2016,2,True,True,False
A702880,Tom,2015-06-28 15:33:00,Adoption,Cat,Female,0.16666666666666666,Domestic Medium Hair,Calico,2015,6,True,False,False
A714494,Amarillo,2015-11-01 19:11:00,Adoption,Dog,Male,0.5,Labrador Retriever,Yellow,2015,11,True,False,False
A711853,Nala,2015-11-07 19:14:00,Adoption,Cat,Female,0.16666666666666666,Domestic Shorthair,Brown Tabby,2015,11,True,False,False
A688720,,2014-09-26 18:09:00,Adoption,Dog,Female,1.0,Dachshund,Tan,2014,9,True,False,False
A689690,Winnie,2014-10-22 14:37:00,Transfer,Dog,Female,0.5,Dachshund,Brown,2014,10,False,True,False
A679915,Luna,2014-06-01 17:48:00,Adoption,Cat,Female,1.0,Domestic Shorthair,Black,2014,6,True,True,False
A687991,,2014-09-12 18:38:00,Transfer,Cat,Male,0.057692307692307696,Domestic Shorthair,Calico,2014,9,False,False,False
A707896,Tokyo,2016-02-19 14:58:00,Adoption,Cat,Male,2.0,Domestic Shorthair,Brown Tabby,2016,2,True,False,False
A702014,Diamond,2015-11-14 13:30:00,Adoption,Dog,Female,0.9166666666666666,Blue Lacy,Blue,2015,11,True,True,False
A673626,,2014-03-03 16:58:00,Transfer,Dog,Male,0.25,Rat Terrier,Tricolor,2014,3,True,False,False
A652097,Minnie,2014-02-10 12:34:00,Return_to_owner,Dog,Female,2.0,Dachshund Longhair,Brown,2014,2,True,False,False
A685180,Neville,2014-09-27 12:25:00,Transfer,Dog,Male,2.0,Pit Bull,Red,2014,9,True,False,False
