AnimalID,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,year,month,neutralized
A671945,Return_to_owner,1,0,1.0,2014,2,1.0
A656520,Euthanasia,0,1,1.0,2013,10,1.0
A686464,Adoption,1,0,2.0,2015,1,1.0
A683430,Transfer,0,0,0.057692307692307696,2014,7,0.0
A667013,Transfer,1,0,2.0,2013,11,1.0
A677334,Transfer,1,1,0.08333333333333333,2014,4,0.0
A699218,Transfer,0,0,0.057692307692307696,2015,3,0.0
A701489,Transfer,0,0,0.057692307692307696,2015,4,
A671784,Adoption,1,1,0.4166666666666667,2014,2,1.0
A677747,Adoption,1,1,1.0,2014,5,1.0
A668402,Transfer,0,0,2.0,2013,12,
A666320,Adoption,1,1,2.0,2013,11,1.0
A684601,Adoption,1,0,4.0,2016,2,1.0
A704702,Return_to_owner,1,0,2.0,2015,6,1.0
A688584,Return_to_owner,1,0,1.0,2015,11,1.0
A678825,Adoption,0,0,0.25,2014,7,1.0
A678050,Transfer,0,0,0.057692307692307696,2014,5,0.0
A680028,Transfer,1,1,0.038461538461538464,2014,6,0.0
A679010,Transfer,0,1,2.0,2014,5,0.0
A684787,Return_to_owner,1,0,1.0,2014,7,1.0
A670658,Transfer,1,0,0.16666666666666666,2014,1,0.0
A708812,Transfer,0,1,1.0,2015,9,1.0
A705262,Adoption,1,1,2.0,2015,8,1.0
A665781,Adoption,1,0,0.8333333333333334,2013,10,1.0
A676333,Return_to_owner,1,0,0.16666666666666666,2014,4,1.0
A712750,Transfer,0,1,0.08333333333333333,2015,10,0.0
A718832,Adoption,1,1,0.5,2016,1,1.0
A698777,Adoption,1,1,5.0,2015,3,1.0
A715348,Adoption,0,1,0.16666666666666666,2015,11,1.0
A708666,Return_to_owner,0,0,7.0,2015,7,1.0
A718535,Euthanasia,0,1,3.0,2016,1,1.0
A707341,Transfer,1,0,0.3333333333333333,2015,7,0.0
A682532,Adoption,0,1,0.16666666666666666,2014,7,1.0
A666825,Return_to_owner,1,0,5.0,2013,11,1.0
A699723,Transfer,1,0,3.0,2015,4,1.0
A668626,Euthanasia,1,0,3.0,2013,12,0.0
A657085,Return_to_owner,1,0,3.0,2013,10,1.0
A682413,Transfer,0,0,0.16666666666666666,2014,7,0.0
A702655,Transfer,0,0,0.3333333333333333,2015,8,1.0
A707503,Transfer,0,0,0.057692307692307696,2015,7,0.0
A697199,Adoption,0,1,7.0,2015,4,1.0
A705598,Transfer,0,0,0.16666666666666666,2015,6,0.0
A668388,Transfer,0,1,0.16666666666666666,2013,12,0.0
A671181,Transfer,0,0,4.0,2014,1,0.0
A676766,Adoption,0,0,2.0,2014,5,1.0
A686716,Return_to_owner,1,0,12.0,2014,8,1.0
A684475,Return_to_owner,0,1,9.0,2014,8,1.0
A701804,Transfer,0,1,0.057692307692307696,2015,5,0.0
A697852,Adoption,1,1,0.4166666666666667,2015,3,1.0
A666092,Euthanasia,1,0,6.0,2013,10,0.0
A684050,Transfer,0,1,1.0,2014,7,0.0
A710107,Adoption,0,1,0.25,2015,10,1.0
A682347,Transfer,0,1,0.057692307692307696,2014,6,0.0
A701627,Adoption,1,0,2.0,2015,5,1.0
