AnimalID,Name,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,year,month,neutralized,Mix
A671945,Hambone,2014-02-12 18:22:00,Return_to_owner,Dog,Male,1.0,Shetland Sheepdog,Brown/White,2014,2,True,True
A656520,Emily,2013-10-13 12:44:00,Euthanasia,Cat,Female,1.0,Domestic Shorthair,Cream Tabby,2013,10,True,True
A686464,Pearce,2015-01-31 12:28:00,Adoption,Dog,Male,2.0,Pit Bull,Blue/White,2015,1,True,True
A683430,,2014-07-11 19:09:00,Transfer,Cat,Male,0.0576923076923077,Domestic Shorthair,Blue Cream,2014,7,False,True
A667013,,2013-11-15 12:52:00,Transfer,Dog,Male,2.0,Lhasa Apso,Tan,2013,11,True,False
A677334,Elsa,2014-04-25 13:04:00,Transfer,Dog,Female,0.08333333333333333,Cairn Terrier,Black/Tan,2014,4,False,False
A699218,Jimmy,2015-03-28 13:11:00,Transfer,Cat,Male,0.0576923076923077,Domestic Shorthair,Blue Tabby,2015,3,False,True
A701489,,2015-04-30 17:02:00,Transfer,Cat,,0.0576923076923077,Domestic Shorthair,Brown Tabby,2015,4,,True
A671784,Lucy,2014-02-04 17:17:00,Adoption,Dog,Female,0.4166666666666667,American Pit Bull Terrier,Red/White,2014,2,True,True
A677747,,2014-05-03 07:48:00,Adoption,Dog,Female,1.0,Cairn Terrier,White,2014,5,True,False
A668402,,2013-12-05 15:50:00,Transfer,Cat,,2.0,Domestic Shorthair,Black,2013,12,,True
A666320,,2013-11-04 14:48:00,Adoption,Dog,Female,2.0,Miniature Schnauzer,Silver,2013,11,True,True
A684601,Rocket,2016-02-03 11:27:00,Adoption,Dog,Male,4.0,Pit Bull,Brown,2016,2,True,True
A704702,Scooter,2015-06-08 16:30:00,Return_to_owner,Dog,Male,2.0,Yorkshire Terrier,Black/Red,2015,6,True,True
A688584,Preston,2015-11-25 15:00:00,Return_to_owner,Dog,Male,1.0,Great Pyrenees,White/Cream,2015,11,True,True
A678825,Oliver,2014-07-12 12:10:00,Adoption,Cat,Male,0.25,Domestic Shorthair,Orange Tabby/White,2014,7,True,True
A678050,,2014-05-03 16:15:00,Transfer,Cat,Male,0.0576923076923077,Domestic Shorthair,Brown Tabby,2014,5,False,True
A680028,,2014-06-07 12:54:00,Transfer,Dog,Female,0.038461538461538464,Pit Bull,Brown/White,2014,6,False,True
A679010,Chrissy,2014-05-17 11:32:00,Transfer,Cat,Female,2.0,Angora,White,2014,5,False,True
A684787,Kuma,2014-07-30 17:34:00,Return_to_owner,Dog,Male,1.0,Flat Coat Retriever,Black,2014,7,True,True
